id_project,name,top,score,year,week,created_at,init_price,end_price,performance
345,Binance Coin,General,73.88,2024,6,2024-02-12 01:15:54,353.18,323.12,-0.08511240727107991
8839,Internet Computer,General,73.2,2024,6,2024-02-12 01:19:24,13.16,13.35,0.014437689969604825
986,Monero,General,72.61,2024,6,2024-02-12 01:16:16,120.09,119.15,-0.007827462736281104
1069,Hedera Hashgraph,General,72.21,2024,6,2024-02-12 01:16:28,0.082813,0.078986,-0.04621255116950234
5518,Avalanche,General,71.52,2024,6,2024-02-12 01:18:08,39.74,40.18,0.011071967790639096
621,Cardano,General,71.08,2024,6,2024-02-12 01:16:02,0.598949,0.547095,-0.08657498384670474
984,TRON,General,70.86,2024,6,2024-02-12 01:16:15,0.136215,0.124417,-0.08661307491832766
3844,Trust Wallet Token,General,70.8,2024,6,2024-02-12 01:17:37,,,
1036,Polygon,General,70.78,2024,6,2024-02-12 01:16:23,0.924026,0.851647,-0.07833004699001973
998,Dogecoin,General,70.71,2024,6,2024-02-12 01:16:18,0.083577,0.081361,-0.026514471684793612
769,Cosmos,General,70.67,2024,6,2024-02-12 01:16:08,10.23,10.04,-0.018572825024438053
907,Decentraland,General,70.56,2024,6,2024-02-12 01:16:11,,,
8477,Mina Protocol (IOU),General,70.08,2024,6,2024-02-12 01:19:16,1.36,1.33,-0.022058823529411783
147,Algorand,General,70.08,2024,6,2024-02-12 01:15:47,0.190093,0.177057,-0.0685769596986739
5613,Aave,General,70.05,2024,6,2024-02-12 01:18:10,93.8,88.84,-0.05287846481876326
994,VeChain,General,69.9,2024,6,2024-02-12 01:16:17,0.0452615,0.0298665,-0.34013455143996557
4688,Polkadot,General,69.87,2024,6,2024-02-12 01:17:50,7.66,7.26,-0.05221932114882511
3747,Solana,General,69.84,2024,6,2024-02-12 01:17:35,108.44,109.79,0.012449280708225825
5395,Uniswap,General,69.69,2024,6,2024-02-12 01:18:06,7.68,6.66,-0.13281249999999994
1011,Theta Network,General,69.58,2024,6,2024-02-12 01:16:20,,,
985,Tezos,General,69.32,2024,6,2024-02-12 01:16:16,,,
983,Stellar,General,69.3,2024,6,2024-02-12 01:16:15,0.114158,0.11197,-0.01916641847264314
6569,The Graph,General,68.57,2024,6,2024-02-12 01:18:32,0.203165,0.171571,-0.15550906898333872
1005,Synthetix Network Token,General,68.18,2024,6,2024-02-12 01:16:19,3.63,3.47,-0.04407713498622581
996,Maker,General,68.14,2024,6,2024-02-12 01:16:18,2112.5,1995.17,-0.05554082840236683
5674,PancakeSwap,General,68.0,2024,6,2024-02-12 01:18:13,,,
15951,BitTorrent,General,67.81,2024,6,2024-02-12 01:22:44,,,
