id_project,name,top,score,year,week,created_at
1060,GXChain,General,63.25,2024,2,2024-01-15 10:33:10
998,Dogecoin,General,63.24,2024,2,2024-01-15 10:33:09
1210,Matrix AI Network,General,63.07,2024,2,2024-01-15 10:33:13
5613,Aave,General,62.80,2024,2,2024-01-15 10:33:50
5395,Uniswap,General,62.74,2024,2,2024-01-15 10:33:48
376,Bitcoin,General,90.79,2024,3,2024-01-22 10:03:14
978,Ethereum,General,77.44,2024,3,2024-01-22 10:03:16
8839,Internet Computer,General,74.94,2024,3,2024-01-22 10:03:46
345,Binance Coin,General,74.66,2024,3,2024-01-22 10:03:14
979,XRP,General,72.88,2024,3,2024-01-22 10:03:16
621,Cardano,General,71.50,2024,3,2024-01-22 10:03:15
1069,Hedera Hashgraph,General,71.20,2024,3,2024-01-22 10:03:17
984,TRON,General,70.70,2024,3,2024-01-22 10:03:16
769,Cosmos,General,70.42,2024,3,2024-01-22 10:03:15
1036,Polygon,General,70.13,2024,3,2024-01-22 10:03:17
4688,Polkadot,General,70.08,2024,3,2024-01-22 10:03:30
5613,Aave,General,69.69,2024,3,2024-01-22 10:03:33
3844,Trust Wallet Token,General,69.60,2024,3,2024-01-22 10:03:28
8477,Mina Protocol (IOU),General,69.53,2024,3,2024-01-22 10:03:44
15951,BitTorrent,General,69.19,2024,3,2024-01-22 10:04:29
6569,The Graph,General,68.28,2024,3,2024-01-22 10:03:37
1087,Kava,General,67.95,2024,3,2024-01-22 10:03:17
5674,PancakeSwap,General,67.86,2024,3,2024-01-22 10:03:34
907,Decentraland,General,66.75,2024,3,2024-01-22 10:03:16
996,Maker,General,66.27,2024,3,2024-01-22 10:03:16
1011,Theta Network,General,66.17,2024,3,2024-01-22 10:03:17
986,Monero,General,65.74,2024,3,2024-01-22 10:03:16
1014,Enjin Coin,General,65.70,2024,3,2024-01-22 10:03:17
1032,Zilliqa,General,65.40,2024,3,2024-01-22 10:03:17
985,Tezos,General,65.37,2024,3,2024-01-22 10:03:16
7102,Flow - Dapper Labs,General,65.03,2024,3,2024-01-22 10:03:39
1118,VeThor Token,General,64.60,2024,3,2024-01-22 10:03:17
659,ChainLink,General,64.35,2024,3,2024-01-22 10:03:15
4708,SAND,General,64.30,2024,3,2024-01-22 10:03:30
1081,Harmony,General,64.29,2024,3,2024-01-22 10:03:17
4696,Curve DAO Token,General,63.96,2024,3,2024-01-22 10:03:30
5518,Avalanche,General,63.92,2024,3,2024-01-22 10:03:33
1005,Synthetix Network Token,General,63.90,2024,3,2024-01-22 10:03:16
6641,1inch,General,63.74,2024,3,2024-01-22 10:03:37
15733,Acala,General,63.69,2024,3,2024-01-22 10:04:27
1007,Nervos Network,General,63.68,2024,3,2024-01-22 10:03:16
5540,Origin Dollar,General,63.66,2024,3,2024-01-22 10:03:33
998,Dogecoin,General,63.45,2024,3,2024-01-22 10:03:16
1094,Fetch.ai,General,63.32,2024,3,2024-01-22 10:03:17
1150,Thorchain,General,63.12,2024,3,2024-01-22 10:03:18
5900,Near,General,62.95,2024,3,2024-01-22 10:03:34
15776,Astar,General,62.89,2024,3,2024-01-22 10:04:27
6009,Axie Infinity,General,62.34,2024,3,2024-01-22 10:03:35
5395,Uniswap,General,62.29,2024,3,2024-01-22 10:03:32
994,VeChain,General,62.24,2024,3,2024-01-22 10:03:16
18408,Kaspa,General,62.14,2024,3,2024-01-22 10:05:10
1210,Matrix AI Network,General,61.92,2024,3,2024-01-22 10:03:18
147,Algorand,General,61.84,2024,3,2024-01-22 10:03:13
2817,Theta Fuel,General,61.79,2024,3,2024-01-22 10:03:24
5572,Crust Network,General,61.78,2024,3,2024-01-22 10:03:33
376,Bitcoin,General,90.18,2024,4,2024-01-29 10:12:05
978,Ethereum,General,75.67,2024,4,2024-01-29 10:12:13
345,Binance Coin,General,73.65,2024,4,2024-01-29 10:12:05
979,XRP,General,72.38,2024,4,2024-01-29 10:12:13
5518,Avalanche,General,72.19,2024,4,2024-01-29 10:13:09
8839,Internet Computer,General,71.37,2024,4,2024-01-29 10:13:47
1069,Hedera Hashgraph,General,71.19,2024,4,2024-01-29 10:12:16
984,TRON,General,70.89,2024,4,2024-01-29 10:12:13
1036,Polygon,General,70.75,2024,4,2024-01-29 10:12:15
769,Cosmos,General,70.64,2024,4,2024-01-29 10:12:10
4688,Polkadot,General,70.57,2024,4,2024-01-29 10:13:00
994,VeChain,General,70.54,2024,4,2024-01-29 10:12:13
621,Cardano,General,70.42,2024,4,2024-01-29 10:12:08
6569,The Graph,General,70.35,2024,4,2024-01-29 10:13:21
