id_project,month,performance
1060,1,5.999377088928928
17936,1,0.13052491453370127
7333,1,0.10467081007160406
1090,1,0.10397995228633371
15335,1,0.08112078160371343
147,1,0.07310436360663478
15951,1,0.0717299310989368
4696,1,0.0683257461867642
1210,1,0.0663802753512874
2391,1,0.06346176033953858
1032,1,0.05782906770033422
18642,1,0.05719326256862096
1014,1,0.05468571537662682
1005,1,0.05451702012100492
5518,1,0.05334305138446764
1069,1,0.052524519030323
5395,1,0.05247557657824767
3078,1,0.04791607665807492
4708,1,0.04751266142726972
994,1,0.04693413395106537
1052,8,0.2309374963346978
995,8,0.20118368546037643
1005,8,0.13897772140138998
1032,8,0.13075573007485947
1067,8,0.12802463848609136
1118,8,0.12609342520391262
1103,8,0.10482579094913896
981,8,0.0984515447826528
6641,8,0.08966208438169632
5395,8,0.08573088133262417
979,8,0.08368782983773554
3288,8,0.08124173459784495
1036,8,0.0742733924424202
5518,8,0.07321195205329098
8839,8,0.0726318140089156
983,8,0.07246680145785288
659,8,0.0716397656446244
1087,8,0.06908738199684998
998,8,0.06824562349004443
382,8,0.06612239030911433
6009,9,0.07186792986425336
20565,9,0.06084656084656084
8839,9,0.04764422335436024
1067,9,0.04046687248229719
21811,9,0.038122433782713135
18126,9,0.035804553587735155
1069,9,0.03101253463932546
5518,9,0.030589331201002386
4688,9,0.028801768855866453
5674,9,0.025419043312776446
1087,9,0.023011287766538588
22464,9,0.021760936830111082
989,9,0.021186440677966215
5900,9,0.020790387845472554
983,9,0.02066510245986169
5395,9,0.020174945222606586
3844,9,0.019955765978343722
15951,9,0.019750689064176985
985,9,0.019174305461762946
6723,9,0.0182353172047107
1062,10,0.03551213742081748
672,10,0.03156800616942451
990,10,0.02649930264993032
4696,10,0.022700988584522058
10418,10,0.019018222583363397
3213,10,0.018513113080122146
981,10,0.01715686274509811
11726,10,0.01656604329259314
14449,10,0.013018876701959075
1011,10,0.012459542753460106
1013,10,0.01126126126126122
5900,10,0.010739164086687309
1037,10,0.009870463900811744
5395,10,0.008605542597899193
983,10,0.0075910612700198395
22464,10,0.005003784748800567
998,10,0.002023183766725104
809,10,0.0008653314941446336
22399,10,0.0
5540,10,-7.01004539505256e-05
175,11,0.06159571514067198
1077,11,0.05955533803324995
1014,11,0.046023818023782324
4202,11,0.02707910473763653
4406,11,0.020082984284135335
996,11,-1.7202398297111454e-05
5540,11,-0.00030055499774806914
7333,11,-0.006106552389339229
345,11,-0.007027002563207055
995,11,-0.00794028895072534
1593,11,-0.007971153771684239
114,11,-0.010038863648803999
986,11,-0.013398062155298724
3844,11,-0.014921623036507166
3361,11,-0.018600186994762492
4696,11,-0.022613875969185127
1118,11,-0.022730870446376093
982,11,-0.023653112703750853
376,11,-0.02494280247017959
984,11,-0.027234578662047145
3078,12,0.07793063249170275
1100,12,0.0630561068758333
4406,12,0.05770737492960952
18408,12,0.04611106475536989
1210,12,0.023227856750093406
996,12,0.014390224576313594
7333,12,0.008935694251928606
5613,12,0.003236882823621369
979,12,0.002353936471972451
5540,12,0.0009273589021920213
984,12,-5.3880340937445884e-05
659,12,-0.00890515954434773
1087,12,-0.01019264939791883
3844,12,-0.015934743725064753
6641,12,-0.018022743540389567
995,12,-0.021388976800602155
1036,12,-0.022115504908112593
978,12,-0.022163987752329924
4708,12,-0.022199283067701775
986,12,-0.02420807825378414
