category,platform,date,year,week,id_project,project_name,start_price,end_price,performance
General,Polygon,2023-03-25,2023,12,12135,Snook,0.0151134,0.0133493,-0.11672423147670286
General,Polygon,2023-03-25,2023,12,13269,Playermon,0.00151594,0.00163076,0.07574178397561913
General,Polygon,2023-03-25,2023,12,13802,IX Token,0.625702,0.538085,-0.14002991839565793
General,Polygon,2023-03-25,2023,12,16534,Rainbow Token,0.0401291,0.033535,-0.1643221502600357
General,Polygon,2023-03-25,2023,12,16037,Sheesha Finance Polygon,0.00235558,0.00183949,-0.21909253771894815
General,Polygon,2023-04-01,2023,13,17936,Quickswap,0.08241,0.086978,0.05543016624196096
General,Polygon,2023-04-01,2023,13,12382,Fabwelt,0.00857898,0.00740849,-0.13643696569988503
General,Polygon,2023-04-01,2023,13,10287,Kommunitas,0.00174877,0.00165053,-0.05617662700069184
General,Polygon,2023-04-01,2023,13,16476,Bullieverse,0.00348504,0.00367587,0.054756903794504486
General,Polygon,2023-04-01,2023,13,18132,SPORT,0.0316746,0.0307411,-0.02947156396607998
General,Polygon,2023-04-01,2023,13,13802,IX Token,0.538085,0.492099,-0.08546233401785967
General,Polygon,2023-04-08,2023,14,17936,Quickswap,0.086978,0.076069,-0.12542252063740258
General,Polygon,2023-04-08,2023,14,10287,Kommunitas,0.00165053,0.00152181,-0.07798707081967618
General,Polygon,2023-04-08,2023,14,16476,Bullieverse,0.00367587,0.00329655,-0.10319189742836385
General,Polygon,2023-04-08,2023,14,12382,Fabwelt,0.00740849,0.00769066,0.03808738352889725
General,Polygon,2023-04-08,2023,14,13802,IX Token,0.492099,0.498493,0.012993320449746923
General,Polygon,2023-04-08,2023,14,16534,Rainbow Token,0.0347746,0.0323484,-0.06976931438463715
General,Polygon,2023-04-15,2023,15,17936,Quickswap,0.076069,0.080578,0.059275131788244874
General,Polygon,2023-04-15,2023,15,10287,Kommunitas,0.00152181,0.00167377,0.09985477819175852
General,Polygon,2023-04-09,2023,15,13269,Playermon,0.00162782,0.00173061,0.06314580236144042
General,Polygon,2023-04-15,2023,15,16476,Bullieverse,0.00329655,0.00317127,-0.038003367156572834
General,Polygon,2023-04-15,2023,15,12382,Fabwelt,0.00769066,0.00851067,0.1066241388905503
General,Polygon,2023-04-09,2023,15,12135,Snook,0.0126812,0.0122977,-0.030241617512538257
General,Polygon,2023-04-15,2023,15,13802,IX Token,0.498493,0.4836,-0.029876046403861326
General,Polygon,2023-04-09,2023,15,16766,Vault Hill City,0.0044164,0.00424579,-0.03863101168372427
General,Polygon,2023-04-09,2023,15,16037,Sheesha Finance Polygon,0.00175015,0.00172496,-0.014393052024112231
General,Polygon,2023-04-15,2023,15,19096,tSILVER,0.791357,0.789044,-0.002922827497576959
General,Polygon,2023-04-22,2023,16,17936,Quickswap,0.080578,0.068136,-0.1544093921417756
General,Polygon,2023-04-22,2023,16,10287,Kommunitas,0.00167377,0.00143617,-0.14195498784181812
General,Polygon,2023-04-16,2023,16,13269,Playermon,0.00173061,0.00184246,0.06463039044036491
General,Polygon,2023-04-22,2023,16,12382,Fabwelt,0.00851067,0.00657754,-0.22714192889631485
General,Polygon,2023-04-16,2023,16,12135,Snook,0.0122977,0.0114888,-0.06577652731811635
General,Polygon,2023-04-22,2023,16,13802,IX Token,0.4836,0.458233,-0.05245450785773361
General,Polygon,2023-04-16,2023,16,16766,Vault Hill City,0.00424579,0.00359076,-0.154277531389918
General,Polygon,2023-04-22,2023,16,18860,tGOLD,64.53,63.26,-0.01968076863474358
General,Polygon,2023-04-22,2023,16,19096,tSILVER,0.789044,0.775787,-0.01680134441171844
General,Polygon,2023-04-16,2023,16,15537,Kitsumon,2.799e-05,3.639e-05,0.30010718113612006
General,Polygon,2023-04-29,2023,17,17936,Quickswap,0.068136,0.070342,0.032376423623341546
General,Polygon,2023-04-29,2023,17,10287,Kommunitas,0.00143617,0.00134616,-0.06267363891461314
General,Polygon,2023-04-23,2023,17,13269,Playermon,0.00184246,0.00178049,-0.033634380122227865
General,Polygon,2023-04-23,2023,17,12135,Snook,0.0114888,0.0115297,0.003559988858714571
General,Polygon,2023-04-29,2023,17,13802,IX Token,0.458233,0.466703,0.018484046325777447
General,Polygon,2023-04-23,2023,17,16766,Vault Hill City,0.00359076,0.00338665,-0.05684311956243245
General,Polygon,2023-04-29,2023,17,18132,SPORT,0.0217512,0.0176301,-0.18946540880503143
General,Polygon,2023-04-23,2023,17,15537,Kitsumon,3.639e-05,3.705e-05,0.018136850783182112
General,Polygon,2023-04-23,2023,17,21613,Yellow Duckies,0.00930005,0.0085877,-0.07659636238514851
General,Polygon,2023-05-06,2023,18,17936,Quickswap,0.070342,0.062361,-0.11345995280202442
General,Polygon,2023-05-06,2023,18,10287,Kommunitas,0.00134616,0.0012018,-0.10723836691032274
General,Polygon,2023-04-30,2023,18,12135,Snook,0.0115297,0.0115923,0.0054294561003321385
General,Polygon,2023-05-06,2023,18,13802,IX Token,0.466703,0.45721,-0.020340559199319427
General,Polygon,2023-04-30,2023,18,16766,Vault Hill City,0.00338665,0.00302041,-0.10814226447964811
General,Polygon,2023-05-06,2023,18,18132,SPORT,0.0176301,0.0186218,0.056250389958083145
General,Polygon,2023-05-06,2023,18,18860,tGOLD,62.15,62.03,-0.0019308125502815357
General,Polygon,2023-05-06,2023,18,16534,Rainbow Token,0.0281268,0.0255518,-0.09154969637498758
General,Polygon,2023-04-30,2023,18,21613,Yellow Duckies,0.0085877,0.00853985,-0.0055719226335340455
General,Polygon,2023-05-07,2023,19,12135,Snook,0.0115923,0.0122858,0.059824193645782085
General,Polygon,2023-05-07,2023,19,16766,Vault Hill City,0.00302041,0.00288495,-0.044848215970679485
General,Polygon,2023-05-07,2023,19,21613,Yellow Duckies,0.00853985,0.00816516,-0.04387547790652066
General,Polygon,2023-05-21,2023,21,17936,Quickswap,0.054646,0.053141,-0.027540899608388528
General,Polygon,2023-05-21,2023,21,13802,IX Token,0.399722,0.388629,-0.027751787492307202
General,Polygon,2023-05-21,2023,21,12260,Gains Network,4.96,5.26,0.0604838709677419
General,Polygon,2023-05-28,2023,22,17936,Quickswap,0.053141,0.051532,-0.030277939820477585
General,Polygon,2023-05-28,2023,22,18112,Battle World,0.076713,0.083421,0.08744280630401616
General,Polygon,2023-05-28,2023,22,15802,Affyn,0.0407798,0.0389917,-0.04384768929715204
General,Polygon,2023-05-28,2023,22,16753,GensoKishi Metaverse,0.11283,0.112795,-0.0003102011876273453
General,Polygon,2023-05-28,2023,22,13802,IX Token,0.388629,0.360801,-0.07160556726337977
General,Polygon,2023-05-28,2023,22,17080,Giddy,0.0113071,0.0111786,-0.011364540863705117
General,Polygon,2023-05-29,2023,22,12155,FireStarter,0.039004,0.0378987,-0.02833811916726481
General,Polygon,2023-06-04,2023,23,17936,Quickswap,0.051532,0.0489228,-0.05063261662656211
General,Polygon,2023-06-04,2023,23,18112,Battle World,0.083421,0.087179,0.04504860886347576
General,Polygon,2023-06-04,2023,23,13802,IX Token,0.360801,0.329469,-0.08684011407950636
General,Polygon,2023-06-04,2023,23,17080,Giddy,0.0111786,0.0110137,-0.014751399996421806
General,Polygon,2023-06-04,2023,23,15802,Affyn,0.0389917,0.0321134,-0.17640420910091115
General,Polygon,2023-06-04,2023,23,12260,Gains Network,4.91,4.84,-0.01425661914460291
General,Polygon,2023-06-04,2023,23,16753,GensoKishi Metaverse,0.112795,0.118765,0.05292787800877689
General,Polygon,2023-06-11,2023,24,17936,Quickswap,0.0489228,0.0421936,-0.13754731945023596
General,Polygon,2023-06-11,2023,24,13802,IX Token,0.329469,0.337016,0.022906555700232707
General,Polygon,2023-06-11,2023,24,18860,tGOLD,54.99,60.01,0.09128932533187845
General,Polygon,2023-06-24,2023,25,17936,Quickswap,0.0421936,0.0406669,-0.036183212619923376
General,Polygon,2023-06-24,2023,25,10287,Kommunitas,0.00071231,0.0007529,0.056983616683747344
General,Polygon,2023-06-24,2023,25,16476,Bullieverse,0.00119623,0.00120773,0.00961353585848876
General,Polygon,2023-06-24,2023,25,15537,Kitsumon,3.43e-05,3.083e-05,-0.10116618075801746
General,Polygon,2023-06-24,2023,25,13802,IX Token,0.337016,0.391152,0.16063332304697706
