category,date,year,week,id_project,project_name,start_price,end_price,performance
4Chan,2024-01-06,2024,1,22269,BOB Token,3.954e-05,2.561e-05,-0.3523014668689934
4Chan,2024-01-06,2024,1,18695,Trivians,0.00053343,0.00075113,0.40811352942279217
4Chan,2024-01-06,2024,1,5900,Near,3.7,3.51,-0.05135135135135145
4Chan,2024-01-06,2024,1,21263,Aimedis (NEW),0.0109256,0.0106656,-0.0237973200556491
4Chan,2024-01-06,2024,1,5395,Uniswap,7.45,6.38,-0.14362416107382553
4Chan,2024-01-06,2024,1,788,CREDITS,0.00366522,0.00403069,0.0997129776657336
4Chan,2024-01-06,2024,1,22292,noiseGPT,0.0112402,0.0181725,0.6167416949876336
4Chan,2024-01-06,2024,1,15639,Chihuahua Chain,0.00022935,0.00021624,-0.05716154349247869
4Chan,2024-01-06,2024,1,5920,Injective Protocol,36.03,38.29,0.06272550652234243
4Chan,2024-01-06,2024,1,809,Crypto.com Coin,0.098835,0.08946,-0.09485506146607992
4Chan,2024-01-06,2024,1,5938,Leverj Gluon,0.00274781,0.00273024,-0.00639418300391939
4Chan,2024-01-06,2024,1,21812,SPACE ID,0.312839,0.307652,-0.016580413567362118
4Chan,2024-01-06,2024,1,2872,Wrapped Bitcoin,42311.0,43767.0,0.034411855073148825
4Chan,2024-01-06,2024,1,22841,Flooring Protocol μMfers,0.00134536,0.00134027,-0.003783373966819386
4Chan,2024-01-06,2024,1,10555,Gamestarter,0.161525,0.142333,-0.11881752050766144
4Chan,2024-01-06,2024,1,22351,Helium Mobile,0.00406343,0.00290995,-0.28386855439862374
4Chan,2024-01-06,2024,1,22866,Floyx,0.0001994,0.00018799,-0.05722166499498496
4Chan,2024-01-06,2024,1,17237,PLEARN,0.210333,0.161951,-0.2300257211184169
4Chan,2024-01-06,2024,1,345,Binance Coin,314.97,307.1,-0.024986506651427133
4Chan,2024-01-06,2024,1,22874,OSPY,0.061287,0.053854,-0.12128183791016042
4Chan,2024-01-06,2024,1,347,Binance USD,1.002,0.99929,-0.0027045908183632636
4Chan,2024-01-06,2024,1,1372,Kleros,0.0210152,0.0202202,-0.037829761315619194
4Chan,2024-01-06,2024,1,14686,Handy,0.00144925,0.00138049,-0.047445230291530076
4Chan,2024-01-06,2024,1,14694,Imperium Empires,0.00012246,9.665e-05,-0.21076269802384442
4Chan,2024-01-06,2024,1,18795,WhiteBIT Token,5.78,6.01,0.03979238754325251
4Chan,2024-01-06,2024,1,18796,Aptos,9.48,9.02,-0.04852320675105494
4Chan,2024-01-06,2024,1,22893,Mendi Finance,0.0479093,0.0495478,0.03420004049318193
4Chan,2024-01-06,2024,1,10614,Baanx,0.0272616,0.0280593,0.0292609384628928
4Chan,2024-01-06,2024,1,376,Bitcoin,42285.0,43857.0,0.037176303653777935
4Chan,2024-01-06,2024,1,1401,OKCash,0.00291292,0.0037292,0.2802274006838499
4Chan,2024-01-06,2024,1,8062,Liquity,1.51,1.28,-0.152317880794702
4Chan,2024-01-06,2024,1,382,Bitcoin Cash,272.0,236.94,-0.12889705882352942
4Chan,2024-01-06,2024,1,18816,Kapital DAO,0.13095,0.117118,-0.10562810232913333
4Chan,2024-01-06,2024,1,18824,Radiant,0.0019696,0.00206181,0.04681661251015418
