,category,platform,date,year,week,id_project,project_name,start_price,end_price,performance,score
0,General,polygon-ecosystem,2024-03-02 21:00:12,2024,8,345,Binance Coin,382.29,408.79,0.06931910329854299,73.08
1,General,polygon-ecosystem,2024-03-02 21:00:19,2024,8,992,USD Coin,1.0,0.99996,-4.0000000000040004e-05,42.95
2,General,polygon-ecosystem,2024-03-02 21:00:30,2024,8,659,ChainLink,18.46,21.24,0.15059588299024904,65.97
3,General,polygon-ecosystem,2024-03-02 21:00:34,2024,8,1036,Polygon,0.996543,1.086,0.08976732564475404,65.69
4,General,polygon-ecosystem,2024-03-02 21:00:37,2024,8,2872,Wrapped Bitcoin,51496.0,61876.0,0.2015690539070996,42.35
5,General,polygon-ecosystem,2024-03-02 21:00:35,2024,8,5395,Uniswap,11.21,12.51,0.1159678858162354,69.78
6,General,polygon-ecosystem,2024-03-02 21:00:50,2024,8,865,Dai,0.999141,0.998695,-0.000446383443377808,41.3
7,General,polygon-ecosystem,2024-03-02 21:01:27,2024,8,5920,Injective Protocol,34.79,42.86,0.23196320781833862,44.62
8,General,polygon-ecosystem,2024-03-02 21:01:29,2024,8,6723,Lido DAO,3.29,3.38,0.027355623100303907,61.96
9,General,polygon-ecosystem,2024-03-02 21:01:35,2024,8,6569,The Graph,0.271895,0.317406,0.167384468269001,65.12
10,General,polygon-ecosystem,2024-03-02 21:01:33,2024,8,4469,Render Token,7.34,7.65,0.04223433242506819,45.12
11,General,polygon-ecosystem,2024-03-02 21:01:49,2024,8,996,Maker,2027.1,2121.4,0.046519658625622906,67.55
12,General,polygon-ecosystem,2024-03-02 21:01:51,2024,8,13879,Rocket Pool ETH,3288.69,3757.63,0.14259173105400633,36.18
13,General,polygon-ecosystem,2024-03-02 21:02:10,2024,8,5613,Aave,99.53,116.98,0.17532402290766605,70.48
14,General,polygon-ecosystem,2024-03-02 21:02:22,2024,8,1005,Synthetix Network Token,4.03,4.57,0.13399503722084366,68.11
15,General,polygon-ecosystem,2024-03-02 21:02:28,2024,8,1002,TrueUSD,0.973743,1.0,0.026965020544435208,47.85
16,General,polygon-ecosystem,2024-03-02 21:02:36,2024,8,4708,SAND,0.521998,0.685632,0.3134762968440493,63.77
17,General,polygon-ecosystem,2024-03-02 21:02:49,2024,8,5649,APEcoin,1.75,2.27,0.29714285714285715,35.59
18,General,polygon-ecosystem,2024-03-02 21:03:18,2024,8,907,Decentraland,0.499584,0.674711,0.35054565398411475,70.52
19,General,polygon-ecosystem,2024-03-02 21:03:06,2024,8,10321,WOO Network,0.529375,0.542756,0.025276977567886612,38.63
20,General,polygon-ecosystem,2024-03-02 21:03:26,2024,8,18838,Frax Ether,2974.22,3391.03,0.14014094451654566,27.75
21,General,polygon-ecosystem,2024-03-02 21:03:42,2024,8,18821,Axelar,1.46,1.96,0.3424657534246575,45.48
22,General,polygon-ecosystem,2024-03-02 21:03:49,2024,8,18835,Bonk,1.178e-05,2.392e-05,1.0305602716468591,26.75
23,General,polygon-ecosystem,2024-03-02 21:04:09,2024,8,18839,Staked Frax Ether,3202.19,3662.02,0.1435985997083246,27.35
24,General,polygon-ecosystem,2024-03-02 21:04:15,2024,8,6597,Frax Share,8.43,9.13,0.08303677342823264,55.3
25,General,polygon-ecosystem,2024-03-02 21:04:05,2024,8,4696,Curve DAO Token,0.598668,0.672035,0.12255039521070121,65.47
26,General,polygon-ecosystem,2024-03-02 21:04:25,2024,8,1028,NEXO,1.14,1.39,0.2192982456140351,54.99
27,General,polygon-ecosystem,2024-03-02 21:04:18,2024,8,6570,Frax,0.998177,0.994927,-0.003255935570545079,57.7
28,General,polygon-ecosystem,2024-03-02 21:04:42,2024,8,3720,Rocket Pool,28.28,31.11,0.10007072135785,39.69
29,General,polygon-ecosystem,2024-03-02 21:04:32,2024,8,19695,Coinbase Wrapped Staked ETH,3170.06,3617.15,0.14103518545390312,14.66
30,General,polygon-ecosystem,2024-03-02 21:04:46,2024,8,1090,IoTeX,0.059356,0.063137,0.06370038412291933,60.02
31,General,polygon-ecosystem,2024-03-02 21:04:39,2024,8,6641,1inch,0.499547,0.573014,0.14706724292208742,66.77
32,General,polygon-ecosystem,2024-03-02 21:05:21,2024,8,4340,Compound,67.85,91.5,0.3485630066322772,31.82
33,General,polygon-ecosystem,2024-03-02 21:05:19,2024,8,16387,STEPN,0.265988,0.337046,0.26714739010782446,45.7
34,General,polygon-ecosystem,2024-03-02 21:05:27,2024,8,7424,SuperFarm,0.988135,1.46,0.4775309041780728,36.69
35,General,polygon-ecosystem,2024-03-02 21:05:47,2024,8,1121,Ocean Protocol,0.722964,1.076,0.4883175372494343,61.69
36,General,polygon-ecosystem,2024-03-02 21:06:57,2024,8,1052,Golem,0.341375,0.405861,0.18890076894910302,59.22
37,General,polygon-ecosystem,2024-03-02 21:05:31,2024,8,7426,Mask Network,4.63,4.88,0.05399568034557235,36.16
38,General,polygon-ecosystem,2024-03-02 21:06:18,2024,8,6298,API3,3.88,3.87,-0.0025773195876288113,58.24
39,General,polygon-ecosystem,2024-03-02 21:06:24,2024,8,1281,OriginTrail,1.025,1.29,0.2585365853658538,56.3
40,General,polygon-ecosystem,2024-03-02 21:06:26,2024,8,291,Basic Attention Token,0.258347,0.325699,0.2607036272919756,36.74
41,General,polygon-ecosystem,2024-03-02 21:06:39,2024,8,7173,SafePal,0.794114,0.80688,0.01607577753320059,40.85
42,General,polygon-ecosystem,2024-03-02 21:07:41,2024,8,22494,Autonolas,6.1,6.46,0.05901639344262301,28.1
43,General,polygon-ecosystem,2024-03-02 21:07:24,2024,8,188,Ankr,0.0310128,0.0391955,0.2638491203632049,46.43
44,General,polygon-ecosystem,2024-03-02 21:07:22,2024,8,3750,UMA,3.98,4.47,0.12311557788944717,48.29
45,General,polygon-ecosystem,2024-03-02 21:07:31,2024,8,3,0x,0.362598,0.426921,0.17739480085383819,59.55
46,General,polygon-ecosystem,2024-03-02 21:07:13,2024,8,4692,Sushi,1.69,1.68,-0.0059171597633136145,48.9
47,General,polygon-ecosystem,2024-03-02 21:07:45,2024,8,1259,Tellor,115.14,123.22,0.07017543859649121,52.45
48,General,polygon-ecosystem,2024-03-02 21:07:51,2024,8,282,Band Protocol,2.08,2.43,0.1682692307692308,57.85
49,General,polygon-ecosystem,2024-03-02 21:08:46,2024,8,9795,Coin98,0.334271,0.416044,0.2446308534093596,37.25
50,General,polygon-ecosystem,2024-03-02 21:07:58,2024,8,4689,yearn.finance,8378.84,9462.84,0.12937351709783215,61.98
51,General,polygon-ecosystem,2024-03-02 21:08:19,2024,8,3752,Cartesi,0.333887,0.410061,0.22814305438666382,20.31
52,General,polygon-ecosystem,2024-03-02 21:08:25,2024,8,4341,Balancer,4.67,5.19,0.1113490364025697,30.11
53,General,polygon-ecosystem,2024-03-02 21:09:25,2024,8,22460,Open Campus,0.833738,0.9053,0.08583271963134703,28.89
54,General,polygon-ecosystem,2024-03-02 21:09:46,2024,8,10720,Gelato,0.843912,0.781695,-0.07372451156044703,44.02
55,General,polygon-ecosystem,2024-03-02 21:09:23,2024,8,12260,Gains Network,6.4,6.57,0.02656249999999999,54.82
56,General,polygon-ecosystem,2024-03-02 21:10:39,2024,8,4706,MANTRA DAO,0.220083,0.270424,0.22873643125548088,43.8
57,General,polygon-ecosystem,2024-03-02 21:11:37,2024,8,9735,Vulcan Forged,6.6,8.42,0.2757575757575758,36.13
58,General,polygon-ecosystem,2024-03-02 21:10:23,2024,8,776,Covalent,0.287005,0.392734,0.3683873103256041,39.68
59,General,polygon-ecosystem,2024-03-02 21:11:24,2024,8,9791,Yield Guild Games,0.53603,0.713369,0.3308378262410686,48.82
60,General,polygon-ecosystem,2024-03-02 21:11:06,2024,8,3144,Orbs,0.0395922,0.0457347,0.1551441950687257,36.66
