id_project,week_performance,year,init_price,end_price,performance,date_performance
769,12,2024,11.5,12.39,0.07739130434782614,2024-03-30 21:01:04
769,13,2024,12.39,11.1,-0.10411622276029063,2024-04-06 21:01:09
769,14,2024,11.1,7.49,-0.3252252252252252,2024-04-13 21:01:21
769,15,2024,7.49,8.64,0.15353805073431245,2024-04-20 21:01:25
769,16,2024,8.64,8.38,-0.030092592592592567,2024-04-27 21:01:19
769,17,2024,8.38,8.75,0.0441527446300715,2024-05-04 21:01:36
907,5,2024,0.441182,0.464525,0.05291013685961803,2024-02-10 21:02:54
907,6,2024,0.464525,0.487358,0.04915343630590386,2024-02-18 03:00:33
907,7,2024,0.487358,0.499584,0.02508628154252102,2024-02-24 21:03:32
907,8,2024,0.499584,0.674711,0.35054565398411475,2024-03-02 21:03:18
907,9,2024,0.674711,0.759356,0.12545371277480297,2024-03-09 21:02:45
907,10,2024,0.759356,0.629018,-0.17164281312059174,2024-03-16 21:02:49
907,11,2024,0.629018,0.642699,0.021749775046183185,2024-03-23 21:03:06
907,12,2024,0.642699,0.66595,0.03617712179418362,2024-03-30 21:03:10
907,13,2024,0.66595,0.589481,-0.11482693895938134,2024-04-06 21:03:22
907,14,2024,0.589481,0.393677,-0.3321633776152243,2024-04-13 21:04:26
907,15,2024,0.393677,0.471862,0.19860189952676943,2024-04-20 21:04:35
907,16,2024,0.471862,0.452881,-0.04022574396751598,2024-04-27 21:04:30
907,17,2024,0.452881,0.449667,-0.007096787014690382,2024-05-04 21:04:45
978,5,2024,2302.0,2508.9,0.08987836663770638,2024-02-10 21:00:09
978,6,2024,2508.9,2780.88,0.1084060743752242,2024-02-18 21:00:09
978,7,2024,2780.88,2988.18,0.07454474842495891,2024-02-24 21:00:09
978,8,2024,2988.18,3411.25,0.1415811631160105,2024-03-02 21:00:08
978,9,2024,3411.25,3908.74,0.14583803591058989,2024-03-09 21:00:08
978,10,2024,3908.74,3616.73,-0.07470693880892558,2024-03-16 21:00:09
978,11,2024,3616.73,3391.33,-0.062321489301109034,2024-03-23 21:00:07
978,12,2024,3391.33,3510.27,0.03507178599546492,2024-03-30 21:00:07
978,13,2024,3510.27,3359.61,-0.042919775401892124,2024-04-06 21:00:08
978,14,2024,3359.61,2909.85,-0.13387268165054877,2024-04-13 21:00:09
978,15,2024,2909.85,3154.43,0.08405244256576798,2024-04-20 21:00:09
978,16,2024,3154.43,3234.76,0.025465773531192764,2024-04-27 21:00:09
978,17,2024,3234.76,3129.3,-0.03260210958463689,2024-05-04 21:00:10
979,5,2024,0.518837,0.524968,0.011816813372986117,2024-02-10 21:00:16
979,6,2024,0.524968,0.550318,0.04828865759436762,2024-02-18 21:00:16
979,7,2024,0.550318,0.544773,-0.010075992426197257,2024-02-24 21:00:17
979,8,2024,0.544773,0.631961,0.1600446424474048,2024-03-02 21:00:15
979,9,2024,0.631961,0.62411,-0.012423234978107734,2024-03-09 21:00:17
979,10,2024,0.62411,0.611298,-0.020528432487862788,2024-03-16 21:00:19
979,11,2024,0.611298,0.624559,0.021693184011725816,2024-03-23 21:00:17
979,12,2024,0.624559,0.625722,0.001862113907573224,2024-03-30 21:00:16
979,13,2024,0.625722,0.591011,-0.05547351699316957,2024-04-06 21:00:18
979,14,2024,0.591011,0.436237,-0.26188006653006457,2024-04-13 21:00:21
979,15,2024,0.436237,0.528049,0.21046357828428128,2024-04-20 21:00:22
979,16,2024,0.528049,0.518553,-0.017983179591287833,2024-04-27 21:00:23
979,17,2024,0.518553,0.533155,0.028159127418026706,2024-05-04 21:00:25
984,5,2024,0.117176,0.124417,0.06179593090735302,2024-02-10 21:00:29
984,6,2024,0.124417,0.136215,0.09482626972198335,2024-02-18 21:00:35
984,7,2024,0.136215,0.137362,0.008420511691076674,2024-02-24 21:00:29
984,8,2024,0.137362,0.140963,0.026215401639463554,2024-03-02 21:00:29
984,9,2024,0.140963,0.136151,-0.03413661741024248,2024-03-09 21:00:33
984,10,2024,0.136151,0.1252,-0.08043275480899875,2024-03-16 21:00:32
984,11,2024,0.1252,0.119138,-0.04841853035143779,2024-03-23 21:00:30
984,12,2024,0.119138,0.122465,0.02792559888532635,2024-03-30 21:00:36
984,13,2024,0.122465,0.119634,-0.02311680888417099,2024-04-06 21:00:43
984,14,2024,0.119634,0.109247,-0.0868231439222964,2024-04-13 21:00:47
984,15,2024,0.109247,0.110901,0.015140003844499187,2024-04-20 21:00:39
984,16,2024,0.110901,0.120056,0.08255110413792478,2024-04-27 21:00:43
984,17,2024,0.120056,0.122577,0.020998534017458596,2024-05-04 21:00:38
985,5,2024,1.002,1.043,0.04091816367265461,2024-02-10 21:02:35
985,6,2024,1.043,1.061,0.017257909875359558,2024-02-18 03:00:20
985,7,2024,1.061,1.13,0.06503298774740807,2024-02-24 21:03:21
985,8,2024,1.13,1.38,0.22123893805309736,2024-03-02 21:02:53
985,9,2024,1.38,1.44,0.04347826086956526,2024-03-09 21:02:47
985,10,2024,1.44,1.3,-0.09722222222222215,2024-03-16 21:03:06
