week_associated,id_project,appearance_count,performance_mean,score_mean,name,date
13,376,4,0.03227273627091368,86.4425,Bitcoin,2024-04-29
13,621,4,-0.028453487994878977,69.5025,Cardano,2024-04-29
13,659,4,-0.0251114216221863,68.86,ChainLink,2024-04-29
13,769,4,0.010702252331332127,68.665,Cosmos,2024-04-29
13,809,2,-0.016029229709978353,66.52000000000001,Crypto.com Coin,2024-04-29
13,907,4,0.002934449123644476,68.0625,Decentraland,2024-04-29
13,978,4,0.010970348449005051,79.3,Ethereum,2024-04-29
13,979,4,-0.00234909238666785,73.825,XRP,2024-04-29
13,984,4,-0.03376557592133812,67.62,TRON,2024-04-29
13,985,1,0.103174603174603,65.69,Tezos,2024-04-29
13,986,4,-0.027495496618436872,68.66749999999999,Monero,2024-04-29
13,991,1,-0.1680042803638309,65.64,Ethereum Classic,2024-04-29
13,994,3,-0.0573643210063432,68.73666666666666,VeChain,2024-04-29
13,996,2,0.12809618187319016,67.18,Maker,2024-04-29
13,998,4,0.11161509035505829,67.9325,Dogecoin,2024-04-29
13,1005,2,0.033986095338337546,68.745,Synthetix Network Token,2024-04-29
13,1011,4,0.08792633706304764,67.47,Theta Network,2024-04-29
13,1013,2,0.07616234756097565,67.87,KuCoin Shares,2024-04-29
13,1036,4,-0.022233926928668376,70.47,Polygon,2024-04-29
13,1062,4,0.17617293246442722,67.4625,Fantom,2024-04-29
13,1069,4,0.00700978236094062,68.805,Hedera Hashgraph,2024-04-29
13,2391,2,-0.049620675560154204,65.955,Klaytn,2024-04-29
13,3747,4,0.11451532318158654,68.795,Solana,2024-04-29
13,3844,4,-0.0166353948666138,69.1225,Trust Wallet Token,2024-04-29
13,4406,1,0.0240781561819296,66.9,DeFiChain,2024-04-29
13,4688,4,0.01194330798011285,68.7175,Polkadot,2024-04-29
13,4708,1,0.1168425627741994,68.94,SAND,2024-04-29
13,5395,3,-0.011967546066839965,68.40666666666667,Uniswap,2024-04-29
13,5518,4,0.06270469515550876,69.8625,Avalanche,2024-04-29
13,5613,4,0.0198467890026593,68.8,Aave,2024-04-29
13,5674,1,0.1234866828087166,66.44,PancakeSwap,2024-04-29
13,6009,1,0.0390104662226451,67.38,Axie Infinity,2024-04-29
13,6569,4,0.06038651433926027,67.24,The Graph,2024-04-29
13,6723,2,0.019139273356401303,66.73,Lido DAO,2024-04-29
13,7102,4,0.023489310196498372,67.4825,Flow - Dapper Labs,2024-04-29
13,8839,4,0.10001013289934024,69.975,Internet Computer,2024-04-29
13,15951,2,0.0023865899951141106,66.41999999999999,BitTorrent,2024-04-29
