week_associated,id_project,appearance_count,performance_mean,score_mean,name
7,996,3,0.027861169789602434,67.03666666666668,Maker
7,998,2,0.0277868493059733,69.99,Dogecoin
7,1005,3,0.041411089903920964,67.75666666666666,Synthetix Network Token
7,1011,4,0.03143225989160893,67.98,Theta Network
7,1014,2,-0.01646502182243225,65.965,Enjin Coin
7,1032,1,-0.0473212971142521,65.4,Zilliqa
7,1036,4,0.04458313753693008,70.7525,Polygon
7,1062,1,0.1064431636676384,70.37,Fantom
7,1069,4,0.024435820299500977,71.24,Hedera Hashgraph
7,1081,1,-0.005536089225555,64.29,Harmony
7,1087,2,-0.00625599293028785,68.185,Kava
7,1118,1,0.0243766982448411,64.6,VeThor Token
7,2391,1,-0.0432482902577689,67.88,Klaytn
7,3747,2,0.05417648824000885,70.0,Solana
7,3844,4,0.04793729430753022,70.445,Trust Wallet Token
7,4688,4,0.028112344806838576,70.3275,Polkadot
7,4708,1,-0.0599102633004078,64.3,SAND
7,5395,2,0.11892185344954075,69.86,Uniswap
7,5518,3,0.06700240228873897,72.23333333333333,Avalanche
7,5613,4,-0.006143702720335098,70.19749999999999,Aave
7,5674,3,0.02772922693667627,67.97,PancakeSwap
7,6569,3,0.05817519354737643,69.06666666666666,The Graph
7,7102,1,-0.0129330736320241,65.03,Flow - Dapper Labs
7,8477,4,0.04885375090322627,69.525,Mina Protocol (IOU)
7,8839,4,0.03798585254205915,73.145,Internet Computer
7,10410,1,-0.0909839440098806,65.85,Moonriver
7,15335,1,-0.086450835905116,66.6,Moonbeam
7,15951,4,0.03601600628951585,68.5575,BitTorrent
8,147,4,0.037267215277412176,70.3,Algorand
8,345,4,0.05832972645674735,74.27250000000001,Binance Coin
8,376,4,0.0530488514606061,91.36500000000001,Bitcoin
8,621,4,0.04961705532617625,71.3875,Cardano
8,659,2,0.14331381792056866,67.755,ChainLink
8,769,4,0.0193127047528358,70.9975,Cosmos
8,907,4,0.024085456234226574,70.03,Decentraland
8,978,4,0.07161431173608225,77.7975,Ethereum
8,979,4,0.0068945893024412504,74.8125,XRP
8,983,2,0.021561150314689748,69.66,Stellar
8,984,4,0.05142053598418845,70.97,TRON
8,985,3,0.041069687098474035,69.39666666666666,Tezos
8,986,4,-0.052064568135962996,70.0875,Monero
8,991,2,0.01740393335733615,68.445,Ethereum Classic
8,994,4,0.13793224450650124,70.3425,VeChain
8,996,2,0.030020661850056453,67.42,Maker
8,998,3,0.02751826861812327,70.10333333333334,Dogecoin
8,1005,4,0.058606526794331926,68.095,Synthetix Network Token
8,1011,4,0.0723026759555926,68.9825,Theta Network
8,1014,1,-0.0269128692011982,66.23,Enjin Coin
8,1036,4,0.06146753470574815,71.1875,Polygon
8,1062,2,0.083286151557793,70.09,Fantom
