,id_project,week,year,top,score,created_at,name,week_associated,init_price,end_price,performance,date_performance
40,1036,2,2024,General,70.83,2024-01-15 10:33:10,Polygon,5,0.884572,0.778208,-0.12024346237502431,2024-01-20 21:00:33
41,3844,2,2024,General,70.70,2024-01-15 10:33:36,Trust Wallet Token,5,1.16,1.11,-0.04310344827586192,2024-01-20 21:04:46
42,994,2,2024,General,70.65,2024-01-15 10:33:09,VeChain,5,0.0310984,0.0282478,-0.09166387981375243,2024-01-20 21:01:42
43,6569,2,2024,General,70.54,2024-01-15 10:34:00,The Graph,5,0.172115,0.159644,-0.07245736861981804,2024-01-20 21:01:58
44,15951,2,2024,General,70.28,2024-01-15 10:36:14,BitTorrent,5,1.08e-06,9.73958e-07,-0.09818703703703704,2024-01-20 21:02:44
45,8477,2,2024,General,70.22,2024-01-15 10:34:19,Mina Protocol (IOU),5,1.23,1.13,-0.08130081300813015,2024-01-20 21:02:22
46,147,2,2024,General,69.83,2024-01-15 10:33:02,Algorand,5,0.190809,0.171952,-0.0988265752663659,2024-01-20 21:02:05
47,2391,2,2024,General,67.59,2024-01-15 10:33:26,Klaytn,5,0.193611,0.199356,0.029672900816585836,2024-01-20 21:03:47
48,659,2,2024,General,67.09,2024-01-15 10:33:06,ChainLink,5,14.38,15.72,0.09318497913769122,2024-01-20 21:00:36
49,6641,2,2024,General,67.06,2024-01-15 10:34:00,1inch,5,0.495475,0.419845,-0.15264140471264942,2024-01-20 21:04:09
50,907,2,2024,General,66.92,2024-01-15 10:33:08,Decentraland,5,0.47075,0.473862,0.006610727562400433,2024-01-20 21:03:00
51,1014,2,2024,General,66.76,2024-01-15 10:33:10,Enjin Coin,5,0.320065,0.294158,-0.08094293346663964,2024-01-20 21:04:58
52,1005,2,2024,General,66.43,2024-01-15 10:33:09,Synthetix Network Token,5,3.75,3.28,-0.12533333333333338,2024-01-20 21:02:25
53,18126,2,2024,General,66.29,2024-01-15 10:36:54,Optimism,5,3.77,3.17,-0.15915119363395228,2024-01-20 21:01:07
54,1011,2,2024,General,66.17,2024-01-15 10:33:10,Theta Network,5,1.062,1.022,-0.037664783427495324,2024-01-20 21:02:40
55,985,2,2024,General,65.99,2024-01-15 10:33:09,Tezos,5,1.07,1.028,-0.039252336448598164,2024-01-20 21:02:48
56,7102,2,2024,General,65.57,2024-01-15 10:34:05,Flow - Dapper Labs,5,0.849094,0.775763,-0.0863638183758218,2024-01-20 21:02:24
57,986,2,2024,General,65.50,2024-01-15 10:33:09,Monero,5,154.88,156.3,0.00916838842975217,2024-01-20 21:01:26
58,979,2,2024,General,65.46,2024-01-15 10:33:09,XRP,5,0.575125,0.548614,-0.04609606607259283,2024-01-20 21:00:16
59,1118,2,2024,General,65.42,2024-01-15 10:33:12,VeThor Token,5,0.00235581,0.00217872,-0.07517159703032078,2024-01-20 21:09:16
60,376,3,2024,General,90.79,2024-01-22 10:03:14,Bitcoin,5,41682.0,42047.0,0.008756777505877836,2024-01-27 21:00:05
61,978,3,2024,General,77.44,2024-01-22 10:03:16,Ethereum,5,2463.03,2271.05,-0.07794464541641799,2024-01-27 21:00:07
62,8839,3,2024,General,74.94,2024-01-22 10:03:46,Internet Computer,5,11.4,12.8,0.12280701754385967,2024-01-27 21:00:44
63,345,3,2024,General,74.66,2024-01-22 10:03:14,Binance Coin,5,315.66,305.87,-0.03101438256351777,2024-01-27 21:00:11
64,979,3,2024,General,72.88,2024-01-22 10:03:16,XRP,5,0.548614,0.530753,-0.032556588056447726,2024-01-27 21:00:15
65,621,3,2024,General,71.50,2024-01-22 10:03:15,Cardano,5,0.512815,0.489353,-0.04575139182746222,2024-01-27 21:00:20
66,1069,3,2024,General,71.20,2024-01-22 10:03:17,Hedera Hashgraph,5,0.076004,0.07453,-0.01939371612020424,2024-01-27 21:01:22
67,984,3,2024,General,70.70,2024-01-22 10:03:16,TRON,5,0.110089,0.1126,0.022808818319723125,2024-01-27 21:00:27
68,769,3,2024,General,70.42,2024-01-22 10:03:15,Cosmos,5,9.77,9.69,-0.008188331627430918,2024-01-27 21:00:51
69,1036,3,2024,General,70.13,2024-01-22 10:03:17,Polygon,5,0.778208,0.786723,0.010941804761708874,2024-01-27 21:00:35
70,4688,3,2024,General,70.08,2024-01-22 10:03:30,Polkadot,5,6.87,6.7,-0.024745269286753992,2024-01-27 21:00:29
71,5613,3,2024,General,69.69,2024-01-22 10:03:33,Aave,5,96.6,92.03,-0.04730848861283637,2024-01-27 21:01:53
72,3844,3,2024,General,69.60,2024-01-22 10:03:28,Trust Wallet Token,5,1.11,1.14,0.027027027027026848,2024-01-27 21:04:52
73,8477,3,2024,General,69.53,2024-01-22 10:03:44,Mina Protocol (IOU),5,1.13,1.098,-0.02831858407079629,2024-01-27 21:02:08
74,15951,3,2024,General,69.19,2024-01-22 10:04:29,BitTorrent,5,9.73958e-07,8.87921e-07,-0.0883374847786045,2024-01-27 21:02:36
75,6569,3,2024,General,68.28,2024-01-22 10:03:37,The Graph,5,0.159644,0.161063,0.008888526972513865,2024-01-27 21:01:49
76,1087,3,2024,General,67.95,2024-01-22 10:03:17,Kava,5,0.717456,0.718604,0.0016000981244843418,2024-01-27 21:03:11
77,5674,3,2024,General,67.86,2024-01-22 10:03:34,PancakeSwap,5,2.72,2.6,-0.04411764705882357,2024-01-27 21:03:38
78,907,3,2024,General,66.75,2024-01-22 10:03:16,Decentraland,5,0.473862,0.455206,-0.03937011197352817,2024-01-27 21:02:56
79,996,3,2024,General,66.27,2024-01-22 10:03:16,Maker,5,1970.93,2017.33,0.023542185668694406,2024-01-27 21:01:40
80,1011,3,2024,General,66.17,2024-01-22 10:03:17,Theta Network,5,1.022,1.006,-0.01565557729941293,2024-01-27 21:02:27
81,986,3,2024,General,65.74,2024-01-22 10:03:16,Monero,5,156.3,159.96,0.023416506717850265,2024-01-27 21:01:12
82,1014,3,2024,General,65.70,2024-01-22 10:03:17,Enjin Coin,5,0.294158,0.292388,-0.006017174443666309,2024-01-27 21:05:36
83,1032,3,2024,General,65.40,2024-01-22 10:03:17,Zilliqa,5,0.0217344,0.0207059,-0.047321297114252134,2024-01-27 21:05:50
84,985,3,2024,General,65.37,2024-01-22 10:03:16,Tezos,5,1.028,1.0,-0.027237354085603138,2024-01-27 21:02:44
85,7102,3,2024,General,65.03,2024-01-22 10:03:39,Flow - Dapper Labs,5,0.775763,0.76573,-0.01293307363202416,2024-01-27 21:02:10
86,1118,3,2024,General,64.60,2024-01-22 10:03:17,VeThor Token,5,0.00217872,0.00223183,0.02437669824484115,2024-01-27 21:10:25
87,659,3,2024,General,64.35,2024-01-22 10:03:15,ChainLink,5,15.72,14.36,-0.08651399491094156,2024-01-27 21:00:31
88,4708,3,2024,General,64.30,2024-01-22 10:03:30,SAND,5,0.485643,0.456548,-0.05991026330040788,2024-01-27 21:02:25
89,1081,3,2024,General,64.29,2024-01-22 10:03:17,Harmony,5,0.0148119,0.0147299,-0.0055360892255550435,2024-01-27 21:09:30
90,376,4,2024,General,90.18,2024-01-29 10:12:05,Bitcoin,5,42047.0,43050.0,0.023854258329964087,2024-02-03 21:00:07
91,978,4,2024,General,75.67,2024-01-29 10:12:13,Ethereum,5,2271.05,2302.0,0.013628057506439672,2024-02-03 21:00:09
92,345,4,2024,General,73.65,2024-01-29 10:12:05,Binance Coin,5,305.87,300.03,-0.019093078758949986,2024-02-03 21:00:13
93,979,4,2024,General,72.38,2024-01-29 10:12:13,XRP,5,0.530753,0.518837,-0.02245112133139151,2024-02-03 21:00:18
94,5518,4,2024,General,72.19,2024-01-29 10:13:09,Avalanche,5,32.85,36.09,0.09863013698630142,2024-02-03 21:00:28
95,8839,4,2024,General,71.37,2024-01-29 10:13:47,Internet Computer,5,12.8,12.7,-0.007812500000000111,2024-02-03 21:00:45
96,1069,4,2024,General,71.19,2024-01-29 10:12:16,Hedera Hashgraph,5,0.07453,0.069608,-0.0660405205957332,2024-02-03 21:01:28
97,984,4,2024,General,70.89,2024-01-29 10:12:13,TRON,5,0.1126,0.117176,0.040639431616340996,2024-02-03 21:00:32
98,1036,4,2024,General,70.75,2024-01-29 10:12:15,Polygon,5,0.786723,0.787899,0.0014948082107680415,2024-02-03 21:00:38
99,769,4,2024,General,70.64,2024-01-29 10:12:10,Cosmos,5,9.69,9.14,-0.056759545923632505,2024-02-03 21:00:59
100,4688,4,2024,General,70.57,2024-01-29 10:13:00,Polkadot,5,6.7,6.88,0.026865671641791003,2024-02-03 21:00:34
101,994,4,2024,General,70.54,2024-01-29 10:12:13,VeChain,5,0.0282792,0.0286001,0.011347562873065679,2024-02-03 21:01:43
102,621,4,2024,General,70.42,2024-01-29 10:12:08,Cardano,5,0.489353,0.515851,0.05414904986788671,2024-02-03 21:00:24
103,6569,4,2024,General,70.35,2024-01-29 10:13:21,The Graph,5,0.161063,0.158082,-0.01850828557769327,2024-02-03 21:01:54
104,5613,4,2024,General,70.07,2024-01-29 10:13:10,Aave,5,92.03,86.56,-0.05943714006302291,2024-02-03 21:02:02
105,147,4,2024,General,69.83,2024-01-29 10:12:02,Algorand,5,0.168011,0.166082,-0.01148139109939222,2024-02-03 21:02:05
106,8477,4,2024,General,69.71,2024-01-29 10:13:43,Mina Protocol (IOU),5,1.098,1.21,0.10200364298724943,2024-02-03 21:02:14
107,3844,4,2024,General,69.61,2024-01-29 10:12:51,Trust Wallet Token,5,1.14,1.12,-0.01754385964912263,2024-02-03 21:04:19
108,15951,4,2024,General,68.65,2024-01-29 10:15:40,BitTorrent,5,8.87921e-07,8.05257e-07,-0.09309837249034535,2024-02-03 21:02:52
109,1087,4,2024,General,68.42,2024-01-29 10:12:16,Kava,5,0.718604,0.708463,-0.014112083985060014,2024-02-03 21:03:14
110,2391,4,2024,General,67.88,2024-01-29 10:12:34,Klaytn,5,0.204563,0.195716,-0.04324829025776897,2024-02-03 21:03:25
111,986,4,2024,General,66.99,2024-01-29 10:12:13,Monero,5,159.96,164.28,0.027006751687921937,2024-02-03 21:01:15
112,996,4,2024,General,66.70,2024-01-29 10:12:13,Maker,5,2017.33,2019.82,0.0012343047493469136,2024-02-03 21:01:45
113,15335,4,2024,General,66.60,2024-01-29 10:15:31,Moonbeam,5,0.385271,0.351964,-0.08645083590511608,2024-02-03 21:06:11
114,907,4,2024,General,66.39,2024-01-29 10:12:12,Decentraland,5,0.455206,0.441182,-0.030808029771136544,2024-02-03 21:03:01
115,1011,4,2024,General,66.25,2024-01-29 10:12:14,Theta Network,5,1.006,0.996678,-0.009266401590457309,2024-02-03 21:02:33
116,1014,4,2024,General,66.23,2024-01-29 10:12:14,Enjin Coin,5,0.292388,0.284519,-0.02691286920119827,2024-02-03 21:05:14
117,1005,4,2024,General,66.10,2024-01-29 10:12:14,Synthetix Network Token,5,3.23,3.12,-0.03405572755417953,2024-02-03 21:02:22
118,10410,4,2024,General,65.85,2024-01-29 10:14:11,Moonriver,5,24.29,22.08,-0.09098394400988065,2024-02-03 21:08:24
119,659,4,2024,General,65.78,2024-01-29 10:12:09,ChainLink,5,14.36,17.68,0.23119777158774377,2024-02-03 21:00:36
120,376,2,2024,General,92.04,2024-01-15 10:33:04,Bitcoin,6,42845.0,41682.0,-0.027144357567977593,2024-01-20 21:00:07
121,978,2,2024,General,79.81,2024-01-15 10:33:09,Ethereum,6,2571.78,2463.03,-0.04228588759536196,2024-01-20 21:00:08
122,8839,2,2024,General,74.84,2024-01-15 10:34:23,Internet Computer,6,12.93,11.4,-0.11832946635730854,2024-01-20 21:00:47
123,345,2,2024,General,73.40,2024-01-15 10:33:03,Binance Coin,6,302.36,315.66,0.043987299907395194,2024-01-20 21:00:13
124,5518,2,2024,General,72.28,2024-01-15 10:33:49,Avalanche,6,36.31,32.62,-0.10162489672266606,2024-01-20 21:00:25
125,621,2,2024,General,71.60,2024-01-15 10:33:06,Cardano,6,0.549262,0.512815,-0.06635631083162499,2024-01-20 21:00:23
126,1069,2,2024,General,71.31,2024-01-15 10:33:11,Hedera Hashgraph,6,0.080322,0.076004,-0.05375862154826825,2024-01-20 21:01:33
127,984,2,2024,General,71.31,2024-01-15 10:33:09,TRON,6,0.113699,0.110089,-0.031750499124882266,2024-01-20 21:00:31
128,4688,2,2024,General,71.15,2024-01-15 10:33:42,Polkadot,6,7.65,6.87,-0.10196078431372552,2024-01-20 21:00:29
129,769,2,2024,General,71.13,2024-01-15 10:33:07,Cosmos,6,10.27,9.77,-0.04868549172346641,2024-01-20 21:01:03
130,1036,2,2024,General,70.83,2024-01-15 10:33:10,Polygon,6,0.884572,0.778208,-0.12024346237502431,2024-01-20 21:00:33
131,3844,2,2024,General,70.70,2024-01-15 10:33:36,Trust Wallet Token,6,1.16,1.11,-0.04310344827586192,2024-01-20 21:04:46
132,994,2,2024,General,70.65,2024-01-15 10:33:09,VeChain,6,0.0310984,0.0282478,-0.09166387981375243,2024-01-20 21:01:42
133,6569,2,2024,General,70.54,2024-01-15 10:34:00,The Graph,6,0.172115,0.159644,-0.07245736861981804,2024-01-20 21:01:58
134,15951,2,2024,General,70.28,2024-01-15 10:36:14,BitTorrent,6,1.08e-06,9.73958e-07,-0.09818703703703704,2024-01-20 21:02:44
135,8477,2,2024,General,70.22,2024-01-15 10:34:19,Mina Protocol (IOU),6,1.23,1.13,-0.08130081300813015,2024-01-20 21:02:22
136,147,2,2024,General,69.83,2024-01-15 10:33:02,Algorand,6,0.190809,0.171952,-0.0988265752663659,2024-01-20 21:02:05
137,2391,2,2024,General,67.59,2024-01-15 10:33:26,Klaytn,6,0.193611,0.199356,0.029672900816585836,2024-01-20 21:03:47
138,659,2,2024,General,67.09,2024-01-15 10:33:06,ChainLink,6,14.38,15.72,0.09318497913769122,2024-01-20 21:00:36
139,6641,2,2024,General,67.06,2024-01-15 10:34:00,1inch,6,0.495475,0.419845,-0.15264140471264942,2024-01-20 21:04:09
140,907,2,2024,General,66.92,2024-01-15 10:33:08,Decentraland,6,0.47075,0.473862,0.006610727562400433,2024-01-20 21:03:00
141,1014,2,2024,General,66.76,2024-01-15 10:33:10,Enjin Coin,6,0.320065,0.294158,-0.08094293346663964,2024-01-20 21:04:58
142,1005,2,2024,General,66.43,2024-01-15 10:33:09,Synthetix Network Token,6,3.75,3.28,-0.12533333333333338,2024-01-20 21:02:25
143,18126,2,2024,General,66.29,2024-01-15 10:36:54,Optimism,6,3.77,3.17,-0.15915119363395228,2024-01-20 21:01:07
144,1011,2,2024,General,66.17,2024-01-15 10:33:10,Theta Network,6,1.062,1.022,-0.037664783427495324,2024-01-20 21:02:40
145,985,2,2024,General,65.99,2024-01-15 10:33:09,Tezos,6,1.07,1.028,-0.039252336448598164,2024-01-20 21:02:48
146,7102,2,2024,General,65.57,2024-01-15 10:34:05,Flow - Dapper Labs,6,0.849094,0.775763,-0.0863638183758218,2024-01-20 21:02:24
147,986,2,2024,General,65.50,2024-01-15 10:33:09,Monero,6,154.88,156.3,0.00916838842975217,2024-01-20 21:01:26
148,979,2,2024,General,65.46,2024-01-15 10:33:09,XRP,6,0.575125,0.548614,-0.04609606607259283,2024-01-20 21:00:16
149,1118,2,2024,General,65.42,2024-01-15 10:33:12,VeThor Token,6,0.00235581,0.00217872,-0.07517159703032078,2024-01-20 21:09:16
150,376,3,2024,General,90.79,2024-01-22 10:03:14,Bitcoin,6,41682.0,42047.0,0.008756777505877836,2024-01-27 21:00:05
151,978,3,2024,General,77.44,2024-01-22 10:03:16,Ethereum,6,2463.03,2271.05,-0.07794464541641799,2024-01-27 21:00:07
152,8839,3,2024,General,74.94,2024-01-22 10:03:46,Internet Computer,6,11.4,12.8,0.12280701754385967,2024-01-27 21:00:44
