,category,platform,date,year,week,id_project,project_name,start_price,end_price,performance,score
0,General,polygon-ecosystem,2024-04-20 21:00:13,2024,15,345,Binance Coin,522.96,572.35,0.09444316964968637,72.13
1,General,polygon-ecosystem,2024-04-20 21:00:17,2024,15,992,USD Coin,0.996869,0.99987,0.0030104256426872855,42.0
2,General,polygon-ecosystem,2024-04-20 21:00:36,2024,15,2872,Wrapped Bitcoin,61668.0,64796.0,0.050723227605889605,47.12
3,General,polygon-ecosystem,2024-04-20 21:00:45,2024,15,659,ChainLink,12.25,15.0,0.22448979591836735,69.66
4,General,polygon-ecosystem,2024-04-20 21:00:48,2024,15,1036,Polygon,0.610038,0.737217,0.2084771768316073,68.68
5,General,polygon-ecosystem,2024-04-20 21:01:03,2024,15,5395,Uniswap,6.25,7.85,0.25599999999999995,65.63
6,General,polygon-ecosystem,2024-04-20 21:00:59,2024,15,865,Dai,1.0,0.998896,-0.0011039999999999939,39.78
7,General,polygon-ecosystem,2024-04-20 21:01:39,2024,15,4469,Render Token,6.68,8.77,0.312874251497006,38.56
8,General,polygon-ecosystem,2024-04-20 21:01:49,2024,15,996,Maker,2576.08,3108.07,0.2065114437439832,65.92
9,General,polygon-ecosystem,2024-04-20 21:01:55,2024,15,6569,The Graph,0.211248,0.298259,0.41189029008558664,68.79
10,General,polygon-ecosystem,2024-04-20 21:02:06,2024,15,5920,Injective Protocol,20.67,29.19,0.4121915820029027,47.28
11,General,polygon-ecosystem,2024-04-20 21:02:35,2024,15,6723,Lido DAO,1.66,2.1,0.26506024096385555,66.86
12,General,polygon-ecosystem,2024-04-20 21:02:17,2024,15,13879,Rocket Pool ETH,3211.84,3484.47,0.08488280860814973,29.38
13,General,polygon-ecosystem,2024-04-20 21:03:18,2024,15,5613,Aave,74.55,91.66,0.2295103957075788,68.47
14,General,polygon-ecosystem,2024-04-20 21:03:49,2024,15,18835,Bonk,1.366e-05,1.875e-05,0.3726207906295753,27.52
15,General,polygon-ecosystem,2024-04-20 21:04:03,2024,15,1005,Synthetix Network Token,2.56,3.12,0.21875000000000003,66.14
16,General,polygon-ecosystem,2024-04-20 21:03:55,2024,15,4708,SAND,0.386002,0.48288,0.25097797420738743,61.89
17,General,polygon-ecosystem,2024-04-20 21:04:35,2024,15,907,Decentraland,0.393677,0.471862,0.19860189952676943,68.03
18,General,polygon-ecosystem,2024-04-20 21:04:50,2024,15,5649,APEcoin,1.093,1.32,0.20768526989935965,39.91
19,General,polygon-ecosystem,2024-04-20 21:04:53,2024,15,1028,NEXO,1.2,1.28,0.06666666666666674,57.0
20,General,polygon-ecosystem,2024-04-20 21:04:43,2024,15,18838,Frax Ether,2933.5,3148.47,0.07328106357593311,28.35
21,General,polygon-ecosystem,2024-04-20 21:05:20,2024,15,18821,Axelar,0.956797,1.26,0.3168937611635488,42.06
22,General,polygon-ecosystem,2024-04-20 21:05:34,2024,15,4706,MANTRA DAO,0.692798,0.724668,0.0460018649014575,49.86
23,General,polygon-ecosystem,2024-04-20 21:05:01,2024,15,6570,Frax,1.003,0.999182,-0.003806580259222211,55.58
24,General,polygon-ecosystem,2024-04-20 21:05:40,2024,15,19695,Coinbase Wrapped Staked ETH,3125.77,3359.8,0.07487115174820931,15.37
25,General,polygon-ecosystem,2024-04-20 21:06:26,2024,15,10321,WOO Network,0.258879,0.315508,0.21874698218086433,30.94
26,General,polygon-ecosystem,2024-04-20 21:06:47,2024,15,1121,Ocean Protocol,0.704726,1.031,0.46297993830226214,59.32
27,General,polygon-ecosystem,2024-04-20 21:06:35,2024,15,4696,Curve DAO Token,0.388477,0.462259,0.18992630194322946,66.78
28,General,polygon-ecosystem,2024-04-20 21:06:38,2024,15,1090,IoTeX,0.0488298,0.058611,0.20031210449356754,63.74
29,General,polygon-ecosystem,2024-04-20 21:06:24,2024,15,18839,Staked Frax Ether,3137.39,3412.21,0.08759510293587988,14.87
30,General,polygon-ecosystem,2024-04-20 21:06:04,2024,15,1002,TrueUSD,1.007,1.0,-0.006951340615690065,48.47
31,General,polygon-ecosystem,2024-04-20 21:06:58,2024,15,6641,1inch,0.365902,0.4459,0.2186323113839225,57.07
32,General,polygon-ecosystem,2024-04-20 21:06:43,2024,15,16387,STEPN,0.225105,0.256104,0.13770906910108616,45.46
33,General,polygon-ecosystem,2024-04-20 21:07:51,2024,15,7424,SuperFarm,0.780718,1.086,0.39102723390520017,36.21
34,General,polygon-ecosystem,2024-04-20 21:07:44,2024,15,188,Ankr,0.0366441,0.0491667,0.3417357773829894,44.32
35,General,polygon-ecosystem,2024-04-20 21:07:05,2024,15,3720,Rocket Pool,19.07,23.11,0.21185107498689035,32.15
36,General,polygon-ecosystem,2024-04-20 21:07:33,2024,15,3,0x,0.443179,0.55305,0.2479156277711716,54.55
37,General,polygon-ecosystem,2024-04-20 21:08:11,2024,15,6597,Frax Share,4.27,5.26,0.2318501170960188,54.27
38,General,polygon-ecosystem,2024-04-20 21:07:59,2024,15,1281,OriginTrail,0.860802,0.971872,0.12903083403616628,59.35
39,General,polygon-ecosystem,2024-04-20 21:08:16,2024,15,291,Basic Attention Token,0.221877,0.26658,0.2014764937330142,36.16
40,General,polygon-ecosystem,2024-04-20 21:08:19,2024,15,7173,SafePal,0.707463,0.838233,0.18484358899334674,44.57
41,General,polygon-ecosystem,2024-04-20 21:08:08,2024,15,1052,Golem,0.337084,0.401878,0.19221915012281812,54.7
42,General,polygon-ecosystem,2024-04-20 21:08:24,2024,15,4340,Compound,47.92,58.95,0.23017529215358934,28.35
43,General,polygon-ecosystem,2024-04-20 21:09:06,2024,15,7426,Mask Network,3.07,3.65,0.18892508143322478,37.02
44,General,polygon-ecosystem,2024-04-20 21:09:46,2024,15,9791,Yield Guild Games,0.785552,0.94867,0.20764761594394768,36.27
45,General,polygon-ecosystem,2024-04-20 21:10:49,2024,15,6298,API3,2.0,2.58,0.29000000000000004,56.54
46,General,polygon-ecosystem,2024-04-20 21:10:56,2024,15,22524,Osaka Protocol,2.89122e-07,3.45246e-07,0.19411874571979998,22.93
47,General,polygon-ecosystem,2024-04-20 21:10:10,2024,15,1105,Telcoin,0.00299459,0.00331784,0.10794466020390095,45.57
48,General,polygon-ecosystem,2024-04-20 21:09:41,2024,15,9795,Coin98,0.250847,0.306957,0.22368216482557096,36.29
49,General,polygon-ecosystem,2024-04-20 21:11:38,2024,15,4689,yearn.finance,6050.73,7161.8,0.18362577738553873,36.04
50,General,polygon-ecosystem,2024-04-20 21:12:32,2024,15,24672,Vanar Chain,0.129325,0.176667,0.36606997873574326,16.72
51,General,polygon-ecosystem,2024-04-20 21:11:43,2024,15,4341,Balancer,3.57,3.97,0.11204481792717097,28.15
52,General,polygon-ecosystem,2024-04-20 21:11:41,2024,15,10709,The Doge NFT,0.0134039,0.0143605,0.07136728862495245,18.4
53,General,polygon-ecosystem,2024-04-20 21:11:54,2024,15,10909,Synapse,1.027,1.14,0.11002921129503408,33.01
54,General,polygon-ecosystem,2024-04-20 21:12:59,2024,15,3750,UMA,2.25,2.9,0.28888888888888886,46.16
55,General,polygon-ecosystem,2024-04-20 21:12:13,2024,15,282,Band Protocol,1.33,1.61,0.2105263157894737,58.36
56,General,polygon-ecosystem,2024-04-20 21:13:36,2024,15,4692,Sushi,0.833339,1.048,0.257591448378151,47.08
57,General,polygon-ecosystem,2024-04-20 21:12:15,2024,15,3144,Orbs,0.0436996,0.0399732,-0.08527309174454681,29.27
58,General,polygon-ecosystem,2024-04-20 21:13:24,2024,15,5519,tBTC,61932.0,64588.0,0.04288574565652651,14.45
59,General,polygon-ecosystem,2024-04-20 21:14:50,2024,15,3127,Everipedia,0.00779546,0.00944332,0.21138714072036804,52.82
60,General,polygon-ecosystem,2024-04-20 21:14:03,2024,15,22494,Autonolas,3.53,3.19,-0.09631728045325776,25.83
61,General,polygon-ecosystem,2024-04-20 21:15:55,2024,15,3752,Cartesi,0.164602,0.218639,0.3282888421768873,19.36
62,General,polygon-ecosystem,2024-04-20 21:14:17,2024,15,21706,SmarDex,0.0183504,0.0182115,-0.007569317290086365,21.0
63,General,polygon-ecosystem,2024-04-20 21:13:52,2024,15,6790,Escoin Token,1.12,1.2,0.07142857142857129,23.08
64,General,polygon-ecosystem,2024-04-20 21:15:50,2024,15,21525,AllianceBlock Nexera,0.162836,0.172508,0.05939718489768838,35.42
65,General,polygon-ecosystem,2024-04-20 21:16:35,2024,15,22460,Open Campus,0.469219,0.640664,0.36538375470729023,24.48
66,General,polygon-ecosystem,2024-04-20 21:17:25,2024,15,23158,Multibit,0.119788,0.213867,0.7853791698667646,26.41
67,General,polygon-ecosystem,2024-04-20 21:16:41,2024,15,1259,Tellor,47.04,59.61,0.26721938775510207,47.42
68,General,polygon-ecosystem,2024-04-20 21:16:14,2024,15,776,Covalent,0.200784,0.195953,-0.02406068212606583,42.57
69,General,polygon-ecosystem,2024-04-20 21:17:04,2024,15,687,Civic,0.146449,0.173149,0.18231602810534728,55.32
70,General,polygon-ecosystem,2024-04-20 21:15:39,2024,15,1099,STASIS EURO,1.076,1.063,-0.012081784386617214,28.34
71,General,polygon-ecosystem,2024-04-20 21:19:04,2024,15,18805,Hashflow,0.259622,0.331033,0.27505758371786676,42.51
72,General,polygon-ecosystem,2024-04-20 21:17:48,2024,15,12260,Gains Network,3.2,3.53,0.10312499999999988,33.5
73,General,polygon-ecosystem,2024-04-20 21:18:44,2024,15,9735,Vulcan Forged,4.34,5.22,0.20276497695852533,34.68
