,category,platform,date,year,week,id_project,project_name,start_price,end_price,performance,score
0,General,polygon-ecosystem,2024-03-23 21:00:11,2024,11,345,Binance Coin,588.0,559.29,-0.04882653061224496,73.48
1,General,polygon-ecosystem,2024-03-23 21:00:19,2024,11,992,USD Coin,0.998629,1.0,0.0013728822215257229,42.31
2,General,polygon-ecosystem,2024-03-23 21:00:32,2024,11,659,ChainLink,18.37,18.29,-0.0043549265106152335,69.41
3,General,polygon-ecosystem,2024-03-23 21:00:33,2024,11,2872,Wrapped Bitcoin,67005.0,64931.0,-0.030952913961644655,45.14
4,General,polygon-ecosystem,2024-03-23 21:00:35,2024,11,1036,Polygon,1.059,0.993654,-0.06170538243626054,69.75
5,General,polygon-ecosystem,2024-03-23 21:00:37,2024,11,5395,Uniswap,12.22,11.82,-0.032733224222585955,68.34
6,General,polygon-ecosystem,2024-03-23 21:01:01,2024,11,4469,Render Token,10.29,10.77,0.046647230320699756,44.12
7,General,polygon-ecosystem,2024-03-23 21:00:51,2024,11,865,Dai,0.998571,0.998062,-0.0005097284018862772,40.44
8,General,polygon-ecosystem,2024-03-23 21:01:18,2024,11,6569,The Graph,0.372522,0.369822,-0.00724789408410788,67.22
9,General,polygon-ecosystem,2024-03-23 21:01:12,2024,11,5920,Injective Protocol,41.43,35.79,-0.13613323678493847,43.89
10,General,polygon-ecosystem,2024-03-23 21:01:38,2024,11,996,Maker,2699.62,3094.04,0.1461020439913766,65.87
11,General,polygon-ecosystem,2024-03-23 21:01:42,2024,11,6723,Lido DAO,2.72,2.89,0.06249999999999997,67.26
12,General,polygon-ecosystem,2024-03-23 21:01:51,2024,11,13879,Rocket Pool ETH,3977.35,3740.46,-0.05955975712471869,34.4
13,General,polygon-ecosystem,2024-03-23 21:02:10,2024,11,5613,Aave,119.71,122.87,0.026397126388772958,69.22
14,General,polygon-ecosystem,2024-03-23 21:02:13,2024,11,18835,Bonk,2.564e-05,2.278e-05,-0.11154446177847113,27.86
15,General,polygon-ecosystem,2024-03-23 21:02:27,2024,11,4708,SAND,0.631984,0.678704,0.07392592217524492,61.79
16,General,polygon-ecosystem,2024-03-23 21:02:47,2024,11,1005,Synthetix Network Token,3.95,4.4,0.11392405063291143,67.75
17,General,polygon-ecosystem,2024-03-23 21:02:49,2024,11,5649,APEcoin,2.09,1.93,-0.07655502392344495,37.4
18,General,polygon-ecosystem,2024-03-23 21:03:06,2024,11,907,Decentraland,0.629018,0.642699,0.021749775046183185,68.88
19,General,polygon-ecosystem,2024-03-23 21:03:11,2024,11,1002,TrueUSD,0.997135,1.01,0.012901964127224514,47.19
20,General,polygon-ecosystem,2024-03-23 21:03:15,2024,11,18821,Axelar,1.88,1.94,0.03191489361702131,43.13
21,General,polygon-ecosystem,2024-03-23 21:03:23,2024,11,18838,Frax Ether,3583.3,3370.79,-0.05930566795970201,28.23
22,General,polygon-ecosystem,2024-03-23 21:03:17,2024,11,3,0x,1.31,0.861157,-0.3426282442748092,56.4
23,General,polygon-ecosystem,2024-03-23 21:03:55,2024,11,10321,WOO Network,0.462296,0.430863,-0.06799323377230171,37.84
24,General,polygon-ecosystem,2024-03-23 21:04:08,2024,11,4696,Curve DAO Token,0.695438,0.673121,-0.032090567383433216,65.38
25,General,polygon-ecosystem,2024-03-23 21:04:10,2024,11,1028,NEXO,1.39,1.35,-0.028776978417266053,56.59
26,General,polygon-ecosystem,2024-03-23 21:04:24,2024,11,18839,Staked Frax Ether,3889.19,3643.7,-0.06312111262242272,27.73
27,General,polygon-ecosystem,2024-03-23 21:04:50,2024,11,1121,Ocean Protocol,1.034,1.081,0.045454545454545386,57.63
28,General,polygon-ecosystem,2024-03-23 21:04:28,2024,11,19695,Coinbase Wrapped Staked ETH,3824.69,3599.62,-0.058846599332233504,15.63
29,General,polygon-ecosystem,2024-03-23 21:04:32,2024,11,1090,IoTeX,0.072762,0.073108,0.004755229377972197,61.46
30,General,polygon-ecosystem,2024-03-23 21:04:39,2024,11,6641,1inch,0.571117,0.550957,-0.03529924691437999,65.31
31,General,polygon-ecosystem,2024-03-23 21:04:43,2024,11,6570,Frax,0.994097,0.996442,0.0023589247326971526,55.55
32,General,polygon-ecosystem,2024-03-23 21:04:54,2024,11,6597,Frax Share,7.71,7.34,-0.04798962386511026,53.53
33,General,polygon-ecosystem,2024-03-23 21:04:57,2024,11,3720,Rocket Pool,29.46,31.2,0.05906313645621176,36.85
34,General,polygon-ecosystem,2024-03-23 21:05:17,2024,11,7424,SuperFarm,1.23,1.28,0.040650406504065074,36.42
35,General,polygon-ecosystem,2024-03-23 21:05:07,2024,11,16387,STEPN,0.310031,0.291743,-0.058987649622134646,44.38
36,General,polygon-ecosystem,2024-03-23 21:05:33,2024,11,4340,Compound,76.69,71.11,-0.07276046420654582,33.66
