platform,date,year,week,id_project,project_name,start_price,end_price,performance
polygon-ecosystem,2024-04-20,2024,16,376,Bitcoin,61846.0,64720.0,0.0464702648514051
polygon-ecosystem,2024-04-20,2024,16,345,Binance Coin,522.96,572.35,0.0944431696496863
polygon-ecosystem,2024-04-20,2024,16,659,ChainLink,12.25,15.0,0.2244897959183673
polygon-ecosystem,2024-04-20,2024,16,6569,The Graph,0.211248,0.298259,0.4118902900855866
polygon-ecosystem,2024-04-20,2024,16,1036,Polygon,0.610038,0.737217,0.2084771768316073
polygon-ecosystem,2024-04-20,2024,16,5613,Aave,74.55,91.66,0.2295103957075788
polygon-ecosystem,2024-04-20,2024,16,907,Decentraland,0.393677,0.471862,0.1986018995267694
polygon-ecosystem,2024-04-20,2024,16,6723,Lido DAO,1.66,2.1,0.2650602409638555
polygon-ecosystem,2024-04-20,2024,16,4696,Curve DAO Token,0.388477,0.462259,0.1899263019432294
polygon-ecosystem,2024-04-20,2024,16,1005,Synthetix Network Token,2.56,3.12,0.21875
